					Normalized Odds Ratio	Libraries (out of 6)	Normalized Odds Ratio	Libraries (out of 3)	Normalized Odds Ratio	Libraries (out of 3)
yajG	mcaS	CDS	sRNA	-8.61	2.2	1			0.9	1
rpsB	leuZ.yecA.IGR	CDS	IGR	-2.17	2.2	1			0.6	1
yacL	cyaR	CDS	sRNA	-12.34	0.4	3	2.2	3	1.0	3
hisR.leuT.IGT_AS	fnrS	AS	sRNA	-3.91					2.2	U
rpoS	arcZ	CDS	sRNA	-8.27			2.2	2	1.9	2
gadC	omrB	CDS	sRNA	-3.67			2.2	U		
rpsM	xylB.xylA.IGT	CDS	IGT	-9.2			2.2	1		
motB	ryhB	CDS	sRNA	-9.83					2.2	3
hflX	cyaR	CDS	sRNA	-11.97	0.8	5	2.2	3	1.9	3
ycbZ	cyaR	CDS	sRNA	-7.65			2.2	1		
artQ	sucD.EST3UTR	CDS	3UTR	-8.2			2.1	1		
pheT	ybiJ.ybiC.IGR	CDS	IGR	-11.72			2.1	U		
mepM	cyaR	CDS	sRNA	-5.5					2.1	1
yebE	cpxP.3UTR	CDS	3UTR	-10.77			2.1	1		
dhaK	spf	CDS	sRNA	-3.93	2.1	1				
fliC	tdcG	CDS	CDS	-8.28	1.0	U			2.1	2
leuT.AS	cyaR	AS	sRNA	-10.06					2.1	U
rpoE	sdsR	CDS	sRNA	-8.83			2.1	U		
katG	rprA	CDS	sRNA	-9.14			2.1	1		
ompC	insH-2.ybcQ.IGR	CDS	IGR	-12.12			2.1	2	1.0	3
rhsC	arcZ	CDS	sRNA	-5.86					2.1	U
yieP	fnrS	CDS	sRNA	-8.56					2.1	1
tdcE	arcZ	CDS	sRNA	-6.68	0.9	3			2.1	1
malM	uhpT.EST3UTR	CDS	3UTR	0.04					2.1	U
guaA	dsrA	CDS	sRNA	-6.6			2.1	U		
arrS	wzzB	cis_AS_with_trans_t	CDS	-6.86			2.1	1		
rpsT	cyaR	CDS	sRNA	-9.2	1.5	6	0.7	3	2.1	3
atpI	cyaR	CDS	sRNA	-9.53	1.1	2	1.1	3	2.1	3
rsmA	arcZ	CDS	sRNA	-4.96			2.1	1	1.2	1
roxA	uhpT.EST3UTR	CDS	3UTR	-5.58					2.1	U
glpR	gcvB	CDS	sRNA	-15.3					2.1	1
cstA	omrB	CDS	sRNA	-10.52			2.1	1	0.5	2
gcvH	rbsD	CDS	CDS	-8.92	0.7	2	2.1	1		
tnaB	uhpT.EST3UTR	CDS	3UTR	-6.5					2.1	U
yeaG	mgrR	CDS	sRNA	-2.21			2.1	U		
ygaM	micA	CDS	sRNA	-18.26			2.1	1		
fhuE	arcZ	CDS	sRNA	-1.92					2.1	U
kgtP	sdsR	CDS	sRNA	-8.42			2.1	1		
arsB	cyaR	CDS	sRNA	-9.29			2.1	1		
ybiA	arcZ	CDS	sRNA	-5.82			2.1	U		
flgN	dsrA	CDS	sRNA	-10.6	2.1	U			1.1	U
paaJ	raiA	CDS	CDS	-5.69			2.0	U		
yagU	gcvB	CDS	sRNA	-15.34	1.1	U			2.0	U
yebW	cpxP.3UTR	CDS	3UTR	-3.36			2.0	U		
yihY	gcvB	CDS	sRNA	-10.49					2.0	1
fabR	spf	CDS	sRNA	-10.18	0.7	3	1.8	1	2.0	3
setA	ryhB	CDS	sRNA	-8.51					2.0	U
yieP	cyaR	CDS	sRNA	-8.57			2.0	1		
lptB	arcZ	CDS	sRNA	-8.32	1.1	1	2.0	2	1.0	3
putP	cyaR	CDS	sRNA	-4.87			2.0	1		
glgB	sdsR	CDS	sRNA	-8.45			2.0	3		
astC	arcZ	CDS	sRNA	-6.43			2.0	U		
ftsY	cyaR	CDS	sRNA	-6.69	1.4	3	1.6	2	2.0	2
crp	arcZ	CDS	sRNA	-5.5	0.7	4	2.0	3	1.2	3
nmpC	micA	CDS	sRNA	-4.7	1.1	5	2.0	3	1.3	2
glyQ	arcZ	CDS	sRNA	-11.36			2.0	2	0.6	1
ydhF	uhpT.EST3UTR	CDS	3UTR	-10.21					2.0	U
mtr	mgrR	CDS	sRNA	-8.73			2.0	3		
yaiL	cyaR	CDS	sRNA	-9.15			2.0	U	1.1	U
yncE	uhpT.EST3UTR	CDS	3UTR	-4.45					2.0	U
ybaN	gcvB	CDS	sRNA	-10.82					2.0	1
ompC	sdsR	CDS	sRNA	-9.73			2.0	3	0.8	U
ompF	lgoD.EST3UTR	CDS	3UTR	-5.49					2.0	1
arrS	sdhA	cis_AS_with_trans_t	CDS	-6.45			2.0	3		
ftsP	uhpT	CDS	CDS	-5.44					2.0	U
sstT	sroC	CDS	other-ncRNA	-8.88			2.0	2		
glf	cyaR	CDS	sRNA	-10.3	1.1	3	2.0	3	1.6	3
rplA.rplJ.IGT	yodB.serU.IGR	IGT	IGR	-2.72					2.0	1
lpp	glpX.3UTR	CDS	3UTR	-9.44	0.5	5	2.0	3	0.8	3
tatE	cpxP.3UTR	CDS	3UTR	-2.36			2.0	U		
uspB	cyaR	CDS	sRNA	-7.47	1.2	U	2.0	1		
dgt	ryhB	CDS	sRNA	-10.18					2.0	1
miaA.hfq.IGT	cpxP.3UTR	IGT	3UTR	-10.45			2.0	U		
glpK	cpxP.3UTR	CDS	3UTR	-15.04	0.9	5	1.3	3	2.0	3
yjbJ	micF	CDS	sRNA	-8.1			2.0	3		
fabA	mgrR	CDS	sRNA	-8.75			2.0	1	1.5	2
tsx	malG.3UTR	CDS	3UTR	-10					2.0	U
ackA.yfbV.IGR	arcZ	IGR	sRNA	-4.21			2.0	U		
feoA	uhpT	CDS	CDS	-7.81					2.0	U
ybiC	gcvB	CDS	sRNA	-3.8					1.9	U
ubiD	ryhB	CDS	sRNA	-13.47					1.9	3
yajR	cyaR	CDS	sRNA	-9.46			1.9	1	0.9	U
lysP	cyaR	CDS	sRNA	-7.6			1.9	1	1.9	U
ompF	cpxP.3UTR	CDS	3UTR	-5.44	0.9	3	1.9	1	0.8	2
rcsD	cpxP.3UTR	CDS	3UTR	-12.34			1.9	U		
cycA	cpxP.3UTR	CDS	3UTR	-10.78			1.9	1		
cusC.cusF.IGT_AS	narK	AS	CDS	-23.06	1.9	U				
pheS.pheM.IGT	micA	IGT	sRNA	-2.84			0.3	2	1.9	1
lpxP	omrB	CDS	sRNA	-13.22					1.9	1
pnp	dinI.EST3UTR	CDS	3UTR	-6.9	1.9	U				
dctA	cyaR	CDS	sRNA	-8.52			1.1	1	1.9	1
yoaC	cyaR	CDS	sRNA	-7.66			1.9	2		
gltA	fnrS	CDS	sRNA	-13.13	0.7	1	1.3	1	1.9	U
fhuA	uhpT	CDS	CDS	-10.27					1.9	1
pykA	micA	CDS	sRNA	-4.63			1.9	2	0.4	1
nrfA	ykgH.EST3UTR	CDS	3UTR	-3.58	1.9	U				
ybfA	cyaR	CDS	sRNA	-8.32			1.9	2		
yfdG	cyaR	CDS	sRNA	-0.34	0.6	U			1.9	U
ldrA	micA	CDS	sRNA	-10.29			1.9	2		
kgtP.rrfG.IGR	arcZ	IGR	sRNA	-6.96			1.9	1		
ybbB	gcvB	CDS	sRNA	-16.48					1.9	U
yfjW	cyaR	CDS	sRNA	-6.79			1.9	U		
hupB	arcZ	CDS	sRNA	-10.85			1.9	2	1.5	2
gshA	arcZ	CDS	sRNA	-1.81			1.9	U		
narX	cyaR	CDS	sRNA	-7.31	1.9	U			1.1	U
arrS	ppiA	cis_AS_with_trans_t	CDS	-4.55			1.9	U		
gltA	sdsR	CDS	sRNA	-4.78			1.9	U		
rimP	cyaR	CDS	sRNA	-7.79			1.9	1	0.3	1
dctA	mgrR	CDS	sRNA	-10.74	1.6	U	1.8	2	1.9	1
fabZ	cpxP.3UTR	CDS	3UTR	-9.2			1.9	2		
tnaA	uhpT.EST3UTR	CDS	3UTR	-3.7	0.4	5	1.9	U	0.9	3
arcZ	cyaR	sRNA	sRNA	-8.77			1.9	3		
osmE	cpxP.3UTR	CDS	3UTR	-6.65			1.9	2		
obgE	cpxP.3UTR	CDS	3UTR	-8.94			1.9	U		
fecA	omrB	CDS	sRNA	-6.47					1.9	2
ribF	ryhB	CDS	sRNA	-11.68					1.9	U
guaA.guaB.IGT	dsrA	IGT	sRNA	-5.57					1.9	U
ubiJ	ryhB	CDS	sRNA	-7.03					1.9	2
yniC	cpxP.3UTR	CDS	3UTR	-9.18			1.8	U		
gpsA	hupB	CDS	CDS	-6.64	0.7	U			1.8	2
narP	micA	CDS	sRNA	-3.72			1.8	U		
fieF	cyaR	CDS	sRNA	-9.75	1.2	2	1.8	3	1.5	3
cspD	cpxP.3UTR	CDS	3UTR	-11.52			1.8	3	1.5	U
cyoB	cyaR	CDS	sRNA	-8.63	1.4	U	1.2	2	1.8	3
yffR	gcvB	CDS	sRNA	-13.28					1.8	1
folP	cpxP.3UTR	CDS	3UTR	-9.82			1.8	U		
brnQ.proY.IGT	mgrR	IGT	sRNA	-5.89					1.8	1
dfp	gcvB	CDS	sRNA	-8.93					1.8	1
glmU	cyaR	CDS	sRNA	-10.63			1.8	1	1.2	U
ybiB	mgrR	CDS	sRNA	-5.91			1.8	1		
yifK	arcZ	CDS	sRNA	-2.54			1.8	U		
fiu	arcZ	CDS	sRNA	-7.65					1.8	3
nlpD	cyaR	CDS	sRNA	-12.89	1.6	U	1.8	2	1.2	2
greA	micA	CDS	sRNA	-8.42			1.8	2	1.7	2
yceF	sdsR	CDS	sRNA	-5.51			1.8	U		
cra	ryhB	CDS	sRNA	-8.36					1.8	2
nusG	omrB	CDS	sRNA	-6.55			1.8	U	0.5	U
wbbH	ryhB	CDS	sRNA	-7.45					1.8	3
yodD	arcZ	CDS	sRNA	-14.24			1.8	2		
sdhE	gcvB	CDS	sRNA	-10.93	1.4	1	1.8	U	1.6	2
queE.ygcE.IGR	rprA	IGR	sRNA	-3.44			1.8	U		
fliY	cyaR	CDS	sRNA	-14.01			1.8	2	1.2	U
ryeA	oxyS	other-ncRNA	sRNA	-3.42					1.8	U
nagZ	cpxP.3UTR	CDS	3UTR	-14.8			1.8	1		
dadA	rprA	CDS	sRNA	-10.91			1.8	2		
yjiH	micA	CDS	sRNA	-2.46			1.8	1		
fecC	fliC.fliA.IGR	CDS	IGR	-9.07					1.8	1
flxA	fnrS	CDS	sRNA	-12.37	1.4	3			1.8	U
ybhQ	uhpT.EST3UTR	CDS	3UTR	-7.08					1.8	U
tnaB	uhpT	CDS	CDS	-8.08	1.8	U				
nuoM	arcZ	CDS	sRNA	-11.23	0.3	U	1.8	3	1.4	2
yedI	cpxP.3UTR	CDS	3UTR	-7.95			1.8	U		
nlpI	ykgH.EST3UTR	CDS	3UTR	-5.74			1.8	U	0.6	1
yciG	gcvB	CDS	sRNA	-10.29			1.8	U		
hslR	arcZ	CDS	sRNA	-6.14			1.8	1	0.7	U
maeA	mgrR	CDS	sRNA	-8.76			1.8	U	1.7	1
tdcA	chiX	CDS	sRNA	-9.06					1.8	2
ompC	ydfC.dicF.IGR	CDS	IGR	-7.49	1.7	1	1.8	3	1.3	3
uhpT	yeiP	CDS	CDS	-13.21					1.8	U
sdaC	spf	CDS	sRNA	-4.86	0.6	U			1.8	1
malK.lamB.IGT	micA	IGT	sRNA	-11.35			1.8	U		
hflX.hflK.IGT	fnrS	IGT	sRNA	-14.79			1.7	2	0.6	1
trpE	gcvB	CDS	sRNA	-11.5			1.7	2		
talA.maeB.IGR	cyaR	IGR	sRNA	-14.2			1.7	2	0.8	U
lamB	malG.3UTR	CDS	3UTR	-10.83					1.7	1
insA-7.yjhU.IGR	mgrR	IGR	sRNA	-5.67					1.7	U
dcuA	cpxP.3UTR	CDS	3UTR	0.19	1.7	1				
insH-1	gcvB	CDS	sRNA	-9.34					1.7	1
nuoA	ryhB	CDS	sRNA	-9.24					1.7	3
mglC	ryhB	CDS	sRNA	-3.86					1.7	1
tdcA	dicF	CDS	sRNA	-7.67	1.7	U				
fliF	ryhB	CDS	sRNA	-4.94					1.7	3
pepB	cpxP.3UTR	CDS	3UTR	-3.57			1.7	U		
ompF.asnS.IGR	gcvB	IGR	sRNA	-3.28	1.7	2				
pcm	cpxP.3UTR	CDS	3UTR	-8.3			1.7	U		
pka	ykgH.EST3UTR	CDS	3UTR	-3.84					1.7	U
nfrA	cyaR	CDS	sRNA	-2.85					1.7	U
ribF	mgrR	CDS	sRNA	-8.09			1.7	U		
ydbJ	cpxP.3UTR	CDS	3UTR	-13.87			1.7	1		
fre	glnA.3UTR	CDS	3UTR	-10.37	0.7	U			1.7	2
lpxA	sucD.EST3UTR	CDS	3UTR	-15.5	0.6	2	1.1	2	1.7	3
ynfE	arcZ	CDS	sRNA	-5.96			1.7	U		
tsx	cyaR	CDS	sRNA	-15.3	0.4	6	1.7	1	0.7	3
allE.EST3UTR	sucD.EST3UTR	3UTR	3UTR	-4.32			1.7	1		
gltK	micA	CDS	sRNA	-3.22			1.7	U		
pnuC	cyaR	CDS	sRNA	-8.01			1.7	U		
acrZ	omrB	CDS	sRNA	-6.93			1.7	U	1.1	2
uspA	arcZ	CDS	sRNA	-7.55	0.4	1	1.7	2	1.2	3
dctA	motA	CDS	CDS	-10.25	1.7	U				
yjcH.acs.IGT	omrB	IGT	sRNA	-5.87			1.7	U		
gutQ	mgrR	CDS	sRNA	-3.78					1.7	U
arrS	gcvH	cis_AS_with_trans_t	CDS	-6.48			1.7	2		
folX	ryhB	CDS	sRNA	-6.49					1.7	1
ldcA	chiX	CDS	sRNA	-4.55					1.7	1
mqsR	fliC.fliA.IGR	CDS	IGR	-9.14					1.7	U
fhuD	fliC.fliA.IGR	CDS	IGR	0.85					1.7	U
cysB	mgrR	CDS	sRNA	-2.37			1.7	1		
maeA	arcZ	CDS	sRNA	-6.69			1.7	U		
slyB	spf	CDS	sRNA	-6.98	0.7	U			1.7	1
argT	gcvB	CDS	sRNA	-22.34			1.7	2	1.6	1
glpT	sdsR	CDS	sRNA	-4.75			1.6	1		
glgS	rprA	CDS	sRNA	-8.48			1.6	U		
yqjA	cyaR	CDS	sRNA	-8.54	1.0	1	0.8	2	1.6	1
entF	arcZ	CDS	sRNA	-6.5					1.6	2
yihX	ryhB	CDS	sRNA	-18.24					1.6	U
lysC	uhpT.EST3UTR	CDS	3UTR	-7.43					1.6	1
fliC	uhpT.EST3UTR	CDS	3UTR	-5.02	1.6	6			1.6	3
napA	sgrS	CDS	sRNA	-12.51	1.6	U				
ybaM.mscK.IGR	arcZ	IGR	sRNA	-4.68			1.6	1		
fliF	uhpT	CDS	CDS	-6.43	0.7	U			1.6	1
yeaQ	cyaR	CDS	sRNA	-13.28			1.6	3		
fhuA	malG.3UTR	CDS	3UTR	-13.86					1.6	1
gatD	micL	CDS	sRNA	-7.55			1.6	U		
aldA	mgrR	CDS	sRNA	-10.15			1.6	2	1.3	U
chaA	fnrS	CDS	sRNA	-8.77	1.6	U				
fecA	arcZ	CDS	sRNA	-5.38					1.6	3
insN-1	gcvB	CDS	sRNA	-4.23					1.6	1
gadC	arcZ	CDS	sRNA	-7.76			1.6	3		
menF	cyaR	CDS	sRNA	-8.45	1.3	U			1.6	1
yrbG	cyaR	CDS	sRNA	-12.25	1.6	1			1.5	U
lgoR	arcZ	CDS	sRNA	-8.84					1.6	1
ynaJ	fliC.fliA.IGR	CDS	IGR	-10.35	0.7	U	1.6	U	0.3	1
rpoE	rprA	CDS	sRNA	-12.5			1.6	U		
nadR	cpxP.3UTR	CDS	3UTR	-10.23			1.6	1		
yfgM	dsrA	CDS	sRNA	-10.76					1.6	U
ybdZ	malG.3UTR	CDS	3UTR	-7.44					1.6	1
motA	rbsD	CDS	CDS	-12.95	1.6	1			1.6	2
ydiZ	sdsR	CDS	sRNA	-5.59			1.6	U		
putA.EST3UTR	omrA	3UTR	sRNA	-10.22			1.6	U	0.9	U
mnmA	sucD.EST3UTR	CDS	3UTR	-3.54					1.6	U
adhE	omrA	CDS	sRNA	-9.21					1.6	1
trpD	gcvB	CDS	sRNA	-12.66	1.6	U				
gcvH	micL	CDS	sRNA	-8.37			1.6	U		
cspD	sdsR	CDS	sRNA	-7.18			1.6	3		
secB	sucD.EST3UTR	CDS	3UTR	-7.62			1.6	1	0.8	1
ompA	yggN	CDS	CDS	-7.64	0.4	U	1.6	1	0.5	1
ompR	fliC.fliA.IGR	CDS	IGR	-5.04	1.4	2			1.6	1
metI	gcvB	CDS	sRNA	-11.54					1.6	1
trmJ	ytfK	CDS	CDS	-7.96	1.6	U	0.9	2	1.5	1
betI	ryhB	CDS	sRNA	-10.71					1.6	1
rimP.metY.IGT	cyaR	IGT	sRNA	-7.25	0.9	6			1.6	2
yhcN	spf	CDS	sRNA	-10.83					1.6	1
sodB	fnrS	CDS	sRNA	-7.1	0.8	6	1.6	2		
nuoC.nuoB.IGT	uhpT.EST3UTR	IGT	3UTR	-3.87					1.6	U
polA	arcZ	CDS	sRNA	-5.07	1.3	U	1.6	1		
yieP	ryhB	CDS	sRNA	-9.66					1.6	1
fruA	cyaR	CDS	sRNA	-9.02	1.3	U			1.6	U
ydiH	omrA	CDS	sRNA	-7.7			1.6	1		
secB	arcZ	CDS	sRNA	-7.08			1.6	2	0.8	2
ansB	oxyS	CDS	sRNA	-8.51	1.6	5				
dtpB	gcvB	CDS	sRNA	-6.66	1.6	2				
garP	spf	CDS	sRNA	-2.42					1.6	U
yfcA	mcaS	CDS	sRNA	-3.76			1.6	U		
fiu	nuoH	CDS	CDS	-13.04					1.6	U
yeaC	arcZ	CDS	sRNA	-7.96			1.6	3		
yajO.dxs.IGT	narK.EST3UTR	IGT	3UTR	-6.64					1.6	U
yciE.yciF.IGT	chiX	IGT	sRNA	-9.57			1.6	2		
rapZ	uhpT.EST3UTR	CDS	3UTR	-4.25	1.6	U				
iscR	sdsR	CDS	sRNA	-5.74			1.6	U		
gpp	narK	CDS	CDS	-19.77	0.3	U			1.5	1
mscS	mgrR	CDS	sRNA	-13.27			1.5	U		
bolA	chiX	CDS	sRNA	-2.84					1.5	1
arrS	atpE	cis_AS_with_trans_t	CDS	-9.16			1.5	1		
rplN	narP.ccmH.IGR	CDS	IGR	-11.62			1.5	1		
exbB	micL	CDS	sRNA	-5.14					1.5	2
nuoG.nuoF.IGT	ryhB	IGT	sRNA	-9.34					1.5	1
nagE	mcaS	CDS	sRNA	-5.97	0.4	U			1.5	2
maeB	gcvB	CDS	sRNA	-17.17	0.2	U	1.5	1	0.6	2
kefB	arcZ	CDS	sRNA	-13.23			1.5	1	1.1	1
garP	ryhB	CDS	sRNA	-6.43					1.5	1
hsdR	uhpT	CDS	CDS	-4.17					1.5	U
oppA	sdsR	CDS	sRNA	-9.02			1.5	1		
yebO	uhpT.EST3UTR	CDS	3UTR	-2.3					1.5	1
gatB	cpxP.3UTR	CDS	3UTR	-8.87	0.7	2	1.4	3	1.5	3
yqaB	sdsR	CDS	sRNA	-14.69			1.5	U		
yajL	cpxP.3UTR	CDS	3UTR	-11.85			1.5	U		
nanT.nanA.IGT	spf	IGT	sRNA	-8.1	0.4	6			1.5	3
mpl	ryhB	CDS	sRNA	-6.24					1.5	1
proP	cpxP.3UTR	CDS	3UTR	-12.39			1.5	3		
glpT	mgrR	CDS	sRNA	-6.9			1.5	2		
aroC	gcvB	CDS	sRNA	-9.23	1.5	U				
hupB	fnrS	CDS	sRNA	-10.39					1.5	U
glpT	ryhB	CDS	sRNA	-8.88					1.5	2
soxS	narP.ccmH.IGR	CDS	IGR	-4.73			1.5	U		
rbsD	omrB	CDS	sRNA	-9.18	1.4	U	1.5	1	1.3	3
ispG	micA	CDS	sRNA	-5.14					1.5	1
rpoS	micA	CDS	sRNA	-8.02			1.5	2		
ybgC	uhpT.EST3UTR	CDS	3UTR	-5.4					1.5	U
fadD	cyaR	CDS	sRNA	-5.9			1.5	1		
ecnB	omrA	CDS	sRNA	-8.99			1.5	1		
malE	arcZ	CDS	sRNA	-6.64			1.5	2	0.8	2
wbbK	mgrR	CDS	sRNA	-13.76					1.5	1
pspA.pspB.IGT	fnrS	IGT	sRNA	-5.7					1.5	1
G0-10697.ychE.IGR	micA	IGR	sRNA	-11.42					1.5	U
nanC	ryhB	CDS	sRNA	-7.49					1.5	1
insI-1	ryhB	CDS	sRNA	-7.9					1.5	1
acpH	cyaR	CDS	sRNA	-5.99			1.5	U		
aceA	fnrS	CDS	sRNA	-4.65			1.5	2		
nrfA	omrB	CDS	sRNA	-16.61	1.5	U				
rbsD	uhpT.EST3UTR	CDS	3UTR	-6.09					1.5	1
nanT	cyaR	CDS	sRNA	-11.99	0.5	4			1.5	3
ratA	arcZ	CDS	sRNA	-2.54			1.5	U		
nudB	dicF	CDS	sRNA	-7.11					1.5	U
nanE.nanT.IGT	arcZ	IGT	sRNA	-7.13					1.5	1
iscS.iscR.IGT	ryhB	IGT	sRNA	-8.17					1.5	2
typA	ryhB	CDS	sRNA	-8.08					1.5	2
pgpC	cyaR	CDS	sRNA	-4.55			1.5	1		
hflK	fnrS	CDS	sRNA	-11.68			1.5	1		
ycjG	arcZ	CDS	sRNA	-6.3			1.5	U		
leuS	rprA	CDS	sRNA	-6.35			1.5	U		
raiA	fadA.fre.IGR	CDS	IGR	-9.74			1.5	U		
dnaA	arcZ	CDS	sRNA	-6.02			1.5	U		
ytfB	mgrR	CDS	sRNA	-5.21	1.4	U			1.0	U
kgtP	gcvB	CDS	sRNA	-7.16	0.8	U			1.4	3
oppB	G0-10697.oppA.IGR	CDS	IGR	-11.44			1.4	1		
rpsP	cpxP.3UTR	CDS	3UTR	-7.37			1.4	1		
mepS	arcZ	CDS	sRNA	-5.96			1.4	U	0.9	1
zupT	omrB	CDS	sRNA	-5.67					1.4	U
ydcH	cyaR	CDS	sRNA	-10.99	0.6	U	1.2	3	1.4	2
dadA	cyaR	CDS	sRNA	-5.93			1.4	2	1.3	U
hpf.ptsN.IGT	omrB	IGT	sRNA	-2.43					1.4	1
rpmI.infC.IGT	uhpT.EST3UTR	IGT	3UTR	-6.4	0.7	3	1.4	U	1.3	2
dtpB	cyaR	CDS	sRNA	-15.11	0.5	1	1.4	2	0.5	1
ftsB	micA	CDS	sRNA	-5.08			1.3	U	1.4	U
clpP	cyaR	CDS	sRNA	-15	0.6	1	1.4	1	0.7	1
pka	micA	CDS	sRNA	-4.82			1.4	U		
yqcA	arcZ	CDS	sRNA	-10.25			1.4	U	0.7	1
yjdC	cpxP.3UTR	CDS	3UTR	-11.53			1.4	U		
flgA	ryhB	CDS	sRNA	-9.24					1.4	3
yciI.EST3UTR	mcaS	3UTR	sRNA	-5.65					1.4	U
tnaA	ykgH.EST3UTR	CDS	3UTR	-3.57			1.4	U	0.1	1
dcyD	gcvB	CDS	sRNA	-12.2	0.9	3	1.4	1	1.2	3
glf	fnrS	CDS	sRNA	-6.06	1.4	1				
mglA	arcZ	CDS	sRNA	-3.02			1.4	1	0.8	1
gadE.mdtE.IGT (gadF)	wrbA	IGT	CDS	-14.67			1.4	U		
sroC	gcvB	other-ncRNA	sRNA	-11.98			1.4	3		
ymdA	ryhB	CDS	sRNA	-9.73					1.4	3
alaE	cyaR	CDS	sRNA	-8.26			1.4	2		
cirA	cirA.EST3UTR	CDS	3UTR	-9.02					1.4	1
arrS	uspE	cis_AS_with_trans_t	CDS	-4.11			1.4	2		
hflX.hflK.IGT	omrB	IGT	sRNA	-8.74					1.4	1
yobH	mgrR	CDS	sRNA	-10.17					1.4	U
fliA	ryhB	CDS	sRNA	-9.13					1.4	3
ychN	arcZ	CDS	sRNA	-7.89			1.4	1		
thrB	ryhB	CDS	sRNA	-9.76					1.4	1
dtpB	ryhB	CDS	sRNA	-8.14					1.4	U
dmsA	fnrS	CDS	sRNA	-4.81	1.4	3				
fur	rprA	CDS	sRNA	-8.74			1.4	U		
flxA	ryhB	CDS	sRNA	-5.75					1.4	U
ygeR	omrB	CDS	sRNA	-7.39					1.4	U
yjgZ.insG.IGR	sdsR	IGR	sRNA	-10.78			1.4	U		
ycbL.aspC.IGR	uhpT.EST3UTR	IGR	3UTR	-1.05					1.4	1
fabH	omrB	CDS	sRNA	-11.01					1.4	U
sdhC	micA	CDS	sRNA	-12.35			1.3	3		
udp	uhpT	CDS	CDS	-10.62	1.3	U				
ybjD	cyaR	CDS	sRNA	-6.1					1.3	1
mltC	gcvB	CDS	sRNA	-6.5					1.3	U
pspA	fnrS	CDS	sRNA	-10.32					1.3	U
fumC	cpxP.3UTR	CDS	3UTR	-15.93			1.3	1		
asnA	gcvB	CDS	sRNA	-9.63			1.3	U	1.1	1
proQ	chiX	CDS	sRNA	-6.55			1.3	3	1.1	3
rng	cpxP.3UTR	CDS	3UTR	-7.22			1.3	2		
modA	fliC.fliA.IGR	CDS	IGR	-4.5	1.3	2				
crp	cpxP.3UTR	CDS	3UTR	-11.72			1.3	3		
lysS	omrA	CDS	sRNA	-9.98			1.3	U		
gpmA	fnrS	CDS	sRNA	-9.67	1.3	5			1.3	2
dcuA	fnrS	CDS	sRNA	-11.61			1.3	1		
slyB	cyaR	CDS	sRNA	-14.02	0.9	6	1.3	3	0.6	3
rlmE	rprA	CDS	sRNA	-8.18			1.3	1		
sra.bdm.IGT	sdsR	IGT	sRNA	-4.36			1.3	2		
yaiZ	cyaR	CDS	sRNA	-11.11			1.3	1	1.1	U
bluR	arcZ	CDS	sRNA	-5.81					1.3	U
gpp	narK.narG.IGR	CDS	IGR	-15.41					1.3	1
smrB	arcZ	CDS	sRNA	-6.17			1.3	1		
rsuA	mcaS	CDS	sRNA	-8.4	1.1	U	1.3	3	1.0	3
rsmB	sucD.EST3UTR	CDS	3UTR	-4.99			1.3	U		
glgB	cyaR	CDS	sRNA	-10.45	0.9	U	1.3	2		
gatC	oxyS	CDS	sRNA	-4.88	1.1	U			1.3	U
yadE	ryhB	CDS	sRNA	-11.19					1.3	U
malE	sgrS	CDS	sRNA	-11.7					1.3	U
ebgR	gcvB	CDS	sRNA	-12.73	1.3	U			1.2	1
ygdH	mgrR	CDS	sRNA	-11.97	1.3	1			1.0	1
yniA	cyaR	CDS	sRNA	-10.59			1.3	1		
sodA	ryhB	CDS	sRNA	-8.44					1.3	3
gyrA	arcZ	CDS	sRNA	-5.82			1.3	2		
rplL.rpoB.IGT	dsrA	IGT	sRNA	-4.79					1.3	2
yccJ	micF	CDS	sRNA	-11.69			1.3	3		
lsrC	cyaR	CDS	sRNA	-12.73			1.3	U		
yggX	spf	CDS	sRNA	-8.71	1.1	1			1.3	1
motA	tsx	CDS	CDS	-8.44	1.3	U				
ptsP	ryhB	CDS	sRNA	-6.18					1.3	1
nuoL	cyaR	CDS	sRNA	-11.96	0.4	U	0.5	1	1.3	2
moaA	micA	CDS	sRNA	-8.7	1.3	2	0.4	1	0.5	2
clpS	cyaR	CDS	sRNA	-9.56	0.4	5	1.3	3	0.8	3
queE	arcZ	CDS	sRNA	-7.14			1.2	1		
yifE	omrA	CDS	sRNA	-3.64					1.2	U
fumA	cpxP.3UTR	CDS	3UTR	-9.71			1.2	1		
lpp	allE.EST3UTR	CDS	3UTR	-11.68	0.5	U	1.2	2	1.0	3
gntP	cyaR	CDS	sRNA	-8.85	0.9	U			1.2	U
maeB	arcZ	CDS	sRNA	-4.2			1.2	2		
tag	cyaR	CDS	sRNA	-6.5					1.2	U
yajC	cyaR	CDS	sRNA	-6.53			1.2	2		
ftsK	cyaR	CDS	sRNA	-9.73	0.9	3	1.2	2	1.2	2
rfe	arcZ	CDS	sRNA	-2.19	1.2	U				
mepS	rpsJ	CDS	CDS	-10.42	1.2	U			0.4	U
ftnA	uhpT.EST3UTR	CDS	3UTR	-5.27	1.2	U				
cbpM	cyaR	CDS	sRNA	-7.54			1.2	2		
ompW	pheT	CDS	CDS	-10.34			1.2	U		
lpd	spf	CDS	sRNA	-7.81	0.5	1	0.2	U	1.2	1
gshB	ryhB	CDS	sRNA	-8.18					1.2	2
